INFO:root:Start simulation
INFO:root:> Time step 0, take action 16, instance reward 0.0, cumulative reward 0.0, used 5.2354910131543875 seconds
INFO:root:> Time step 1, take action 10, instance reward 0.0, cumulative reward 0.0, used 2.8968989779241383 seconds
INFO:root:> Time step 2, take action 1, instance reward 0.0, cumulative reward 0.0, used 2.8308323179371655 seconds
INFO:root:> Time step 3, take action 10, instance reward 0.0, cumulative reward 0.0, used 2.8362761619500816 seconds
INFO:root:> Time step 4, take action 11, instance reward 0.0, cumulative reward 0.0, used 2.8001936241053045 seconds
INFO:root:> Time step 5, take action 15, instance reward 0.0, cumulative reward 0.0, used 2.820077040232718 seconds
INFO:root:> Time step 6, take action 8, instance reward 0.0, cumulative reward 0.0, used 2.8813471631146967 seconds
INFO:root:> Time step 7, take action 2, instance reward 0.0, cumulative reward 0.0, used 2.7477356982417405 seconds
INFO:root:> Time step 8, take action 10, instance reward 0.0, cumulative reward 0.0, used 2.8724709413945675 seconds
INFO:root:> Time step 9, take action 1, instance reward 10.0, cumulative reward 10.0, used 2.762386279180646 seconds
INFO:root:> Time step 10, take action 2, instance reward 0.0, cumulative reward 10.0, used 2.892972671892494 seconds
INFO:root:> Time step 11, take action 14, instance reward 10.0, cumulative reward 20.0, used 2.8304769177921116 seconds
INFO:root:> Time step 12, take action 7, instance reward 0.0, cumulative reward 20.0, used 2.8193292850628495 seconds
INFO:root:> Time step 13, take action 13, instance reward 0.0, cumulative reward 20.0, used 2.7642197869718075 seconds
INFO:root:> Time step 14, take action 13, instance reward 0.0, cumulative reward 20.0, used 2.7883665203116834 seconds
INFO:root:> Time step 15, take action 9, instance reward 0.0, cumulative reward 20.0, used 2.835229957010597 seconds
INFO:root:> Time step 16, take action 15, instance reward 0.0, cumulative reward 20.0, used 2.9456709609366953 seconds
INFO:root:> Time step 17, take action 0, instance reward 0.0, cumulative reward 20.0, used 2.8043557009659708 seconds
INFO:root:> Time step 18, take action 5, instance reward 0.0, cumulative reward 20.0, used 2.9272174639627337 seconds
INFO:root:> Time step 19, take action 9, instance reward 0.0, cumulative reward 20.0, used 2.757706853095442 seconds
