INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:> Time step 0, take action 4, instance reward 0.0, cumulative reward 0.0, used 5.9028317029587924 seconds
INFO:root:> Time step 1, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.332803667988628 seconds
INFO:root:> Time step 2, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.6034081059042364 seconds
INFO:root:> Time step 3, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.365165869006887 seconds
INFO:root:> Time step 4, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.411590866977349 seconds
INFO:root:> Time step 5, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.287536409916356 seconds
INFO:root:> Time step 6, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3699758970178664 seconds
INFO:root:> Time step 7, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.48253031517379 seconds
INFO:root:> Time step 8, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3727474550250918 seconds
INFO:root:> Time step 9, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.4651022339239717 seconds
INFO:root:> Time step 10, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.4504991178400815 seconds
INFO:root:> Time step 11, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.4147036001086235 seconds
INFO:root:> Time step 12, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.378615930909291 seconds
INFO:root:> Time step 13, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.3982081881258637 seconds
INFO:root:> Time step 14, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.301671895897016 seconds
INFO:root:> Time step 15, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.33276556013152 seconds
INFO:root:> Time step 16, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.300788891967386 seconds
INFO:root:> Time step 17, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.352258787956089 seconds
INFO:root:> Time step 18, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3849671671632677 seconds
INFO:root:> Time step 19, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.3344581299461424 seconds
INFO:root:> Time step 20, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.516672323923558 seconds
INFO:root:> Time step 21, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.4060837600845844 seconds
INFO:root:> Time step 22, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.4421441808808595 seconds
INFO:root:> Time step 23, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.312277328921482 seconds
INFO:root:> Time step 24, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.3808853121008724 seconds
INFO:root:> Time step 25, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.4593347450718284 seconds
INFO:root:> Time step 26, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.2281188960187137 seconds
INFO:root:> Time step 27, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.34680075221695 seconds
INFO:root:> Time step 28, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3283822019584477 seconds
INFO:root:> Time step 29, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.2328655160963535 seconds
INFO:root:> Time step 30, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.4225071638356894 seconds
INFO:root:> Time step 31, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.2818393919151276 seconds
INFO:root:> Time step 32, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.323438835097477 seconds
INFO:root:> Time step 33, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3106773470062762 seconds
INFO:root:> Time step 34, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.3685345470439643 seconds
INFO:root:> Time step 35, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.446652328129858 seconds
INFO:root:> Time step 36, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.4001359730027616 seconds
INFO:root:> Time step 37, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3139865298289806 seconds
INFO:root:> Time step 38, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.220729833934456 seconds
INFO:root:> Time step 39, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.2731839220505208 seconds
INFO:root:> Time step 40, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3643806488253176 seconds
INFO:root:> Time step 41, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.3282632750924677 seconds
INFO:root:> Time step 42, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.3437434369698167 seconds
INFO:root:> Time step 43, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.3206462617963552 seconds
INFO:root:> Time step 44, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.317467896034941 seconds
